id,call_sign,code,name,country_name
270,SLOVAKIA,GM,Air Slovakia,Slovakia
271,AIR YAKUTIA,R3,Aircompany Yakutia,Russia
272,TRANS-AEROMAR,VW,Aeromar,Mexico
273,KERRMONT,JY,Air Turks and Caicos,Turks and Caicos Islands
274,BALUS,CG,Airlines PNG,Papua New Guinea
275,AIRCAL,TY,Air Caldonie,France
276,CITRUS,FL,AirTran Airways,United States
277,AIR TRANSAT,TS,Air Transat,Canada
278,TWINARROW,EC,Avialeasing Aviation Company,Uzbekistan
279,CHARTER UKRAINE,DW,Aero-Charter Ukraine,Ukraine
280,UGANDA,U7,Air Uganda,Uganda
281,AIR UKRAINE,6U,Air Ukraine,Ukraine
282,MIRNY,6R,Alrosa Air Company,Russia
283,Azul,AD,Azul Linhas Areas Brasileiras,Brazil
284,AVIACSA,6A,Aviacsa,Mexico
285,SKY EXPRESS,JZ,Avia Express,Sweden
286,AMSTEL,WD*,Amsterdam Airlines,Netherlands
287,LIAISON,3J,Air Alliance,Canada
288,AUSTRIAN CHARTER,OB,Austrian Airtransport,Austria
289,AIR BUSAN,BX,Air Busan,South Korea
290,AIRBRIDGE,AK,Air Bridge Carriers,United Kingdom
291,AFRIWAYS,VJ,Africa Airways,Benin
292,PALM,QH,Air Florida,United States
293,ARABIA MAROC,3O,Air Arabia Maroc,Morocco
294,AIR DO,HD,AIRDO,Japan
295,NORDVIND,X9,Avion Express,Lithuania
296,ALMASRIA,UJ,Al Masria Universal Airlines,Egypt
297,BEEBEE AIRWAYS,BO,BB Airways,Nepal
298,CAPITAL JET,JD,Beijing Capital Airlines,China
299,BATIK,ID,Batik Air,Indonesia
300,RODEO,8Q*,Baker Aviation,United States
301,BELLEAIR EUROPE,L9,Belle Air Europe,Italy
302,SPEEDBIRD,BA,British Airways,United Kingdom
303,BANGLADESH,BG,Biman Bangladesh Airlines,Bangladesh
304,BLUE CARGO,BO,Bluebird Nordic,Iceland
305,BACH,B4,BACH Flugbetriebsges,Austria
306,CITY JET,WX,CityJet,Ireland
307,BLUE DART,BZ,Blue Dart Aviation,India
308,Air Bosna,JA,B&H Airlines,Bosnia and Herzegovina
309,BUFFALO,J4,Buffalo Airways,Canada
310,BALKAN HOLIDAYS,8H,BH Air,Bulgaria
311,BENIN GOLF,A8,Benin Golf Air,Benin
312,BUDDHA AIR,U4,Buddha Air,Nepal
313,BELAIR,4T,Belair Airlines,Switzerland
314,BAHAMAS,UP,Bahamasair,Bahamas
315,BRINTEL,BS,British International Helicopters,United Kingdom
316,BANKAIR,B4,Bankair,United States
317,BANGKOK AIR,PG,Bangkok Airways,Thailand
318,BLUEFIN,KF,Blue1,Finland
319,BEARSKIN,JV,Bearskin Lake Air Service,Canada
320,BELLVIEW AIRLINES,B3,Bellview Airlines,Nigeria
321,MIDLAND,BD,BMI,United Kingdom
322,BABY,WW,Bmibaby,United Kingdom
323,BEMIDJI,CH,Bemidji Airlines,United States
324,BISMILLAH,5Z,Bismillah Airlines,Bangladesh
325,BOURAQ,BO,Bouraq Indonesia Airlines,Indonesia
326,BLUE PANOROMA,BV,Blue Panorama Airlines,Italy
327,BRA-TRANSPAEREOS,7R,BRA-Transportes Areos,Brazil
328,BERING AIR,8E,Bering Air,United States
329,BELARUS AVIA,B2,BelaviayBelarusian Airlines,Belarus
330,Braniff,BN,Braniff International Airways,United States
331,BIG SKY,GQ,Big Sky Airlines,United States
332,BASHKIRIAN,V9,BAL Bashkirian Airlines,Russia
333,BALTIA,BQ,Baltia Air Lines,United States
334,BATAVIA,Y6,Batavia Air,Indonesia
335,BRISTOW,L9,Bristow U.S. LLC,United States
336,BULGARIAN CHARTER,1T,Bulgarian Air Charter,Bulgaria
337,BURAL,BU,Buryat Airlines Aircompany,Russia
338,BERJAYA,J8,Berjaya Air,Malaysia
339,BLUE WINGS,QW,Blue Wings,Germany
340,XENIA,SN,Brussels International Airlines,Belgium
341,BRITAIR,DB,Brit Air,France
342,CLIPPER CONNECTION,E9,Boston-Maine Airways,United States
343,BEE-LINE,SN,Brussels Airlines,Belgium
344,BINTER,NT,Binter Canarias,Spain
345,BLUE MESSENGER,0B,Blue Air,Romania
346,BEE MED,KJ,British Mediterranean Airways,United Kingdom
347,FLYING BULGARIA,FB,Bulgaria Air,Bulgaria
348,NORDFLIGHT,8N,Barents AirLink,Sweden
349,FLYER,CJ,BA CityFlyer,United Kingdom
350,BOLIVIANA,OB,Boliviana de Aviacicn,Bolivia
351,BORA JET,YB,Borajet,Turkey
352,CARIBBEAN AIRLINES,BW,Caribbean Airlines,Trinidad and Tobago
353,Pawa Dominicana,7N,Pawa Dominicana,Dominican Republic
354,CAL,5C,CAL Cargo Air Lines,Israel
355,SCHREINER,AW,CHC Airways,Netherlands
356,CALIMA,3C,Calima Aviacicn,Spain
357,CALM AIR,MO,Calm Air,Canada
358,AIR CAMAI,R9,Camai Air,United States
359,ANGKOR AIR,K6,Cambodia Angkor Air,Cambodia
360,CAM-AIR,UY,Cameroon Airlines,Cameroon
361,CANJET,C6,CanJet,Canada
362,CANADIAN,CP,Canadian Airlines,Canada
363,EMPRESS,5T,Canadian North,Canada
364,CANADIAN WESTERN,W2,Canadian Western Airlines,Canada
365,CAIR,9K,Cape Air,United States
366,CAPPY,PT,Capital Cargo International Airlines,United States
367,LONG-HAUL,GG,Cargo 360,United States
368,WHITE PELICAN,2G,Cargoitalia,Italy
369,CARGOJET,W8,Cargojet Airways,Canada
370,CARGOLUX,CV,Cargolux,Luxembourg
371,CARGO MED,C8,Cargolux Italia,Italy
372,CARIBBEAN,BW,Caribbean Airlines,Trinidad and Tobago
373,CARIB STAR,8B,Caribbean Star Airlines,Antigua and Barbuda
374,CARPATAIR,V3,Carpatair,Romania
375,CASPIAN,RV,Caspian Airlines,Iran
376,DRAGON,KA,Cathay Dragon,Hong Kong
377,CATHAY,CX,Cathay Pacific,Hong Kong
378,CAYMAN,KX,Cayman Airways,Cayman Islands
379,CEBU,5J,Cebu Pacific,Philippines
380,GLACIER,9M,Central Mountain Air,Canada
381,AVIACENTRE,J7,Centre-Avia,Russia
382,CHALLENGE CARGO,WE,Centurion Air Cargo,United States
383,CHALKS,OP,Chalk's International Airlines,United States
384,CHAMPION AIR,MG,Champion Air,United States
385,CHANGAN,2Z,Chang An Airlines,China
386,CHARI SERVICE,S8,Chari Aviation Services,Chad
387,CHAUTAUQUA,RP*,Chautauqua Airlines,United States
388,WINDY CITY,C8,Chicago Jet Group,United States
389,DYNASTY,CI,China Airlines,Taiwan
390,CARGO KING,CK,China Cargo Airlines,China
391,CHINA EASTERN,MU,China Eastern Airlines,China
392,CHINA EXPRESS,G5,China Express Airlines,China
393,CHINA NORTHERN,CJ,China Northern Airlines,China
394,CHINA NORTHWEST,WH,China Northwest Airlines,China
395,CHINA POST,8Y,China Postal Airlines,China
396,CHINA SOUTHERN,CZ,China Southern Airlines,China
397,LIANHANG,KN,China United Airlines,China
398,XINHUA,XO,China Xinhua Airlines,China
399,YUNNAN,3Q,China Yunnan Airlines,China
400,CHITA,X7,Chitaavia,Russia
401,CIELOS,A2,Cielos Airlines,Peru
402,CIMBER,QI,Cimber Sterling,Denmark
403,CINNAMON,C7,Cinnamon Air,Sri Lanka
404,CIRRUS AIR,C9,Cirrus Airlines,Germany
405,SWEDESTAR,CF,City Airline,Sweden
406,CONNEXION,G3,City Connexion Airlines,Burundi
407,CITY-IRELAND,WX,CityJet,Ireland
408,Mandarin,CT,Civil Air Transport,Taiwan
409,CLUBAIR,6P,Club Air,Italy
410,COAST CENTER,BX,Coast Air,Norway
411,U.S. Virgin Islands,DQ,Coastal Air,United States
412,COLGAN,9L,Colgan Air,United States
413,COMAIR,OH,Comair,United States
414,COMMERCIAL,MN,Comair,South Africa
415,COMMUTAIR,C5,CommutAir,United States
416,CONTICOM,KR,Comores Airlines,Comoros
417,MEXICARGO,GJ,Compania Mexicargo,Mexico
418,COMPASS ROSE,CP,Compass Airlines,United States
419,CONDOR,DE,Condor Flugdienst,Germany
420,CONTINENTAL,CO,Continental Airlines,United States
421,CONTAIR,PC,Continental Airways,Russia
422,JETLINK,CO,Continental Express,United States
423,AIR MIKE,CS,Continental Micronesia,United States
424,CONVIASA,V0,Conviasa,Venezuela
425,COPA,CM,Copa Airlines,Panama
426,CENTRAL CHARTER,CQ,Central Charter,Czechia
427,CORENDON,XC,Corendon Airlines,Turkey
428,DUTCH CORENDON,CD,Corendon Dutch Airlines,Netherlands
429,CORSAIR,SS,Corsairfly,France
